dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,template_response_top1_mean,template_response_top5_mean,template_response_gap_top1_top5_mean,template_response_entropy_mean,pre_safe_displacement_norm_mean,post_safe_displacement_norm_mean,gamma_used_ratio_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_response_top1_mean_audit,template_response_top5_mean_audit,template_response_gap_top1_top5_mean_audit,template_response_entropy_mean_audit,selected_template_response_abs_mean_audit,gamma_used_ratio_mean_audit,pre_safe_displacement_norm_mean_audit,post_safe_displacement_norm_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,bridge_success_rate,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,ag_target_norm_mean_audit,ag_pred_norm_mean_audit,ag_pred_target_cosine_mean_audit,ag_tangent_available_rate_audit,ag_fallback_rate_audit,cs_flow_target_dist_mean_audit,cs_flow_velocity_norm_mean_audit,cs_flow_pred_target_cosine_mean_audit,cs_flow_fallback_rate_audit,latent_target_dist_mean_audit,latent_target_sampling_prob_mean_audit,latent_residual_norm_mean_audit,latent_pred_velocity_norm_mean_audit,latent_pred_target_cosine_mean_audit,latent_fallback_rate_audit,task_utility_mean_audit,task_margin_mean_audit,lc_utility_mean_audit,lc_margin_mean_audit,lc_margin_target_mean_audit,lc_fallback_rate_audit,spg_grad_norm_mean_audit,spg_projected_grad_norm_mean_audit,spg_projection_energy_mean_audit,ecl_projection_energy_mean_audit,ecl_alpha_mean_audit,ecl_alignment_to_projected_gradient_mean_audit,ecl_support_noise_norm_mean_audit,ecl_fallback_rate_audit,rn_ecl_projection_energy_mean_audit,rn_ecl_alpha_mean_audit,rn_ecl_alignment_to_projected_gradient_mean_audit,rn_ecl_support_noise_norm_mean_audit,rn_ecl_fallback_rate_audit,selected_template_entropy,direction_source,operator_source,spg_zhead_train_acc,spg_cfm_train_mse_mean,spg_cfm_train_cosine_mean,spg_cfm_train_pred_target_cosine_mean,spg_cfm_generation_pred_target_cosine_mean,spg_cfm_generated_direction_pairwise_cosine_mean,spg_cfm_effective_aug_multiplier,spg_cfm_alignment_to_spg_mean,spg_cfm_steps,spg_cfm_projection_energy_mean,spg_cfm_projection_energy_std,spg_cfm_condition_norm_mean,spg_cfm_condition_norm_std,augmentation_build_time_sec,spg_cfm_zhead_time_sec,spg_cfm_condition_time_sec,spg_cfm_train_time_sec,spg_cfm_generation_time_sec,generation_time_per_aug_sample_ms
atrialfibrillation,1,csta_topk_uniform_top5,success,,0.2164502164502164,0.2666666666666666,0.050216450216450215,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,19,0,0,4.954484328161925,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282294500337,0.0270561520931879,1.0722887506504823,0.1087524052987783,0.1814713978859785,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.6326309271483517,0.3333333333333333,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999989632056,0.7712366194835014,1.242852429500764,0.9120530660412196,0.3307993634595443,2.078348724700092,0.0999999989632056,0.1000000014901161,1.0,0.1,0.1,0.1814713978859785,0.0,0.0,1.0436398830928968,0.0270561520931879,1.242852429500764,0.9120530660412196,0.3307993634595443,2.078348724700092,0.7712366194835014,1.0,0.0999999989632056,0.1000000014901161,1.6326309271483517,0.3333333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2550371083690743,0.2867997950590593,0.0662662563935412,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,1.6326309271483517,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,1,spg_cfm_one_step,success,,0.2164502164502164,0.1619047619047619,-0.05454545454545448,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,0.5555555555555555,30,0,0,5.615978774148971,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001294770414219,,1.0815923015620377,0.1277692426452703,5.807183100783538,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,1,0.0,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_one_step/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_spg_cfm_one_step_candidate_audit.csv.gz,,,,,,,,,1.0,0.1,0.1,5.807183100783538,0.0,0.0,1.0436398830928968,0.0272216251853383,,,,,,1.0,0.1,0.1,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,120,spg_cfm_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999341106971,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_operator,spg_cfm_one_step,0.75,0.1158504486083984,0.9689269065856934,0.9689269065856934,,0.167806491525479,10.0,0.0805584393469892,1.0,0.999999341106971,1.9773046228597129e-07,1.0,7.850462293418876e-17,0.3797651659697294,0.0624577749986201,0.0309495381079614,0.2443072909954935,0.0389521040488034,0.324600867073362
atrialfibrillation,1,spg_cfm_film_one_step,success,,0.2164502164502164,0.1179487179487179,-0.09850149850149849,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,0.5555555555555555,30,0,0,5.6547587278764695,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001295769096239,,1.080184903262295,0.1272199911034399,5.946005101775561,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,1,0.0,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_film_one_step/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_spg_cfm_film_one_step_candidate_audit.csv.gz,,,,,,,,,1.0,0.1,0.1,5.946005101775561,0.0,0.0,1.0436398830928968,0.027209147827632,,,,,,1.0,0.1,0.1,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,120,spg_cfm_film_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999341106971,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_film_operator,spg_cfm_film_one_step,0.75,0.0406459122896194,0.9826946258544922,0.9826946258544922,,0.2467286864571423,10.0,0.0968175790555028,1.0,0.999999341106971,1.9773046228597129e-07,1.0,7.850462293418876e-17,0.4252507530618459,0.0624908050522208,0.0311642028391361,0.2693128548562526,0.0592037630267441,0.4933646918895344
atrialfibrillation,2,csta_topk_uniform_top5,success,,0.3205128205128205,0.1666666666666666,-0.15384615384615388,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,30,0,0,5.572346302913502,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001281129918173,0.0332052420473859,1.0520823055770174,0.1128198144153842,0.175454993133616,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.7917594692210548,0.3333333333333333,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999994370321,0.7209085493585774,1.2453701487280016,0.9000806475876811,0.3452895011403206,2.111407058910627,0.0999999994370321,0.0999999959021806,1.0,0.1,0.1,0.175454993133616,0.0,0.0,1.033774431547862,0.0332052420473859,1.2453701487280016,0.9000806475876811,0.3452895011403206,2.111407058910627,0.7209085493585774,1.0,0.0999999994370321,0.0999999959021806,1.7917594692210548,0.3333333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,3.0,12.0,False,1.0,1.0,1.0,0.0,0.3592279026832697,0.3777094475231055,0.043015200500775,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,1.7917594692210548,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,2,spg_cfm_one_step,success,,0.3205128205128205,0.1631701631701631,-0.15734265734265737,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,1.0,30,0,0,5.6977835218422115,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001292365046776,,1.087350708112947,0.1365284948141197,6.619512282242273,1.0337744315478616,0.1,0.1,0.0,0.0,0.0,120,120,10,1,0.0,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_one_step/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_spg_cfm_one_step_candidate_audit.csv.gz,,,,,,,,,1.0,0.1,0.1,6.619512282242273,0.0,0.0,1.0337744315478616,0.0333273166970702,,,,,,1.0,0.1,0.1,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,120,spg_cfm_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999233896289,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_operator,spg_cfm_one_step,0.6666666666666666,0.1214191541075706,0.9480633735656738,0.9480633735656738,,0.3454861232656601,10.0,-0.2170375209108875,1.0,0.999999233896289,2.422004176527455e-07,1.0,9.064933036736788e-17,0.3802115169819444,0.0613199840299785,0.030671359039843,0.2449811459518969,0.0401731089223176,0.3347759076859802
atrialfibrillation,2,spg_cfm_film_one_step,success,,0.3205128205128205,0.2644688644688645,-0.05604395604395601,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,1.0,30,0,0,5.565667572896928,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001297916024556,,1.0919567364273008,0.1410288727550556,6.4002278026189,1.0337744315478616,0.1,0.1,0.0,0.0,0.0,120,120,10,1,0.0,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_film_one_step/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_spg_cfm_film_one_step_candidate_audit.csv.gz,,,,,,,,,1.0,0.1,0.1,6.4002278026189,0.0,0.0,1.0337744315478616,0.0333358777575887,,,,,,1.0,0.1,0.1,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,120,spg_cfm_film_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999233896289,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_film_operator,spg_cfm_film_one_step,0.6666666666666666,0.030931182205677,0.9858905076980592,0.9858905076980592,,0.4139237032687555,10.0,-0.1995291254608985,1.0,0.999999233896289,2.422004176527455e-07,1.0,9.064933036736788e-17,0.4289903591852635,0.0623701519798487,0.0309961810708045,0.272060255985707,0.0604459841269999,0.5037165343916664
atrialfibrillation,3,csta_topk_uniform_top5,success,,0.1666666666666666,0.3722943722943723,0.2056277056277057,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,15,0,0,4.728305750992149,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282920427136,0.0323903005745582,1.0727612539847746,0.1144052453030838,0.1818866760609054,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.6609474332809178,0.25,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000010994191,0.7053551739904176,0.9757273605524514,0.7879913920212859,0.1877359685311657,2.125701179315008,0.1000000010994191,0.1000000033527612,1.0,0.1,0.1,0.1818866760609054,0.0,0.0,0.8437962467856865,0.0323903005745582,0.9757273605524514,0.7879913920212859,0.1877359685311657,2.125701179315008,0.7053551739904176,1.0,0.1000000010994191,0.1000000033527612,1.6609474332809178,0.25,response_only,topk_uniform_top5,1.0,1.0,0,0,,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2480053213535128,0.2473399434098298,0.0043627584516276,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,1.6609474332809178,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,3,spg_cfm_one_step,success,,0.1666666666666666,0.2034632034632034,0.0367965367965368,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,1.0,19,0,0,5.232235919917002,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001262216246332,,1.07853088535951,0.1257290142023673,5.068041064839102,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,1,0.0,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_one_step/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_spg_cfm_one_step_candidate_audit.csv.gz,,,,,,,,,1.0,0.1,0.1,5.068041064839102,0.0,0.0,0.8437962467856865,0.0323007223296269,,,,,,1.0,0.1,0.1,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,120,spg_cfm_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999350801121,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_operator,spg_cfm_one_step,0.75,0.3717203438282013,0.9519122838974,0.9519122838974,,0.2555744415226251,10.0,-0.0840135687191947,1.0,0.9999993508011212,1.477006514188033e-07,1.0,1.013490324081353e-16,0.3815437089651823,0.0622662249952554,0.030947073129937,0.245410936884582,0.0398143478669226,0.3317862322243551
atrialfibrillation,3,spg_cfm_film_one_step,success,,0.1666666666666666,0.2649572649572649,0.0982905982905983,120,10.0,10.0,covariance_state_spg_conditioned_cfm,hard,resnet1d,True,False,none,True,spg_conditioned_conditional_flow_matching,1.0,19,0,0,5.420858894009143,spg_conditioned_cfm_operator,anchor_conditioned_spg_conditional_flow_matching,,,SPG-CFM,telm2_support_projection,local_margin_safe_step,whitening_coloring,0.0001259776690932,,1.0830056407438085,0.1284031008328661,3.5022643707501704,0.8437962467856865,0.1,0.0999635657937007,0.0,0.0,0.0,120,120,10,1,0.0083333333333333,0.0,0.0,1.0,120,True,1.0,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/spg_cfm_film_one_step/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_spg_cfm_film_one_step_candidate_audit.csv.gz,,,,,,,,,0.9996356579370071,0.1,0.0999635657937007,3.5022643707501704,0.0083333333333333,0.0,0.8437962467856865,0.0322836219920436,,,,,,0.9996356579370071,0.1,0.0999635657937007,,,response_only,,1.0,1.0,0,0,1.0,0,0,0,0,0,0,,,,,,,,,,,,,0,119,spg_cfm_film_one_step,core_concat,concat_all,10.0,,none,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,0.999999350801121,,,,,0.0,,,,,0.0,0.0,spg_conditioned_cfm_film_operator,spg_cfm_film_one_step,0.75,0.1180482730269432,0.9600126147270204,0.9600126147270204,,0.4046271716430188,10.0,-0.1643781660277871,1.0,0.9999993508011212,1.477006514188033e-07,1.0,1.013490324081353e-16,0.4328574498649686,0.0633572051301598,0.0311343921348452,0.2738405149430036,0.0614563489798456,0.5121362414987137
ering,1,csta_topk_uniform_top5,success,,0.5424850558740912,0.7580623914313596,0.21557733555726832,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.7777777777777778,30,0,0,5.200290949083865,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813588700088,0.0013170723671426,1.100166125799536,0.1495433511972191,0.1423919299191502,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.0377128268608677,0.2083333333333333,1.0,240,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_spg_cfm_film_pilot7/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/ering/s1/candidate_audit/ering_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999993749267,0.5080745053208268,0.8159031269663175,0.5769491513833029,0.2389539755830146,2.034079782189788,0.0999999993749267,0.1000000014901161,1.0,0.1,0.1,0.1423919299191502,0.0,0.0,1.0850636769840405,0.0013170723671426,0.8159031269663175,0.5769491513833029,0.2389539755830146,2.034079782189788,0.5080745053208268,1.0,0.0999999993749267,0.1000000014901161,2.0377128268608677,0.2083333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,10.0,24.0,False,1.0,1.0,1.0,0.0,0.323908626804241,0.3384924606380963,0.0053674422524026,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.0377128268608677,,,,,,,,,,,,,,,,,,,,,
